service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type,day_id,sheet_name,queue_start_min,queue_end_min,meal_start_min,meal_end_min,table_units,primary_zone,wait_time_min,dwell_time_min,is_walk_away,is_direct_seating,n_units,table_minutes
1,1.0,,,6,06:42:00,07:00:00,In house,Day A,133,,,402.0,420.0,"6A,6B",Indoor,,18.0,False,True,2,36.0
2,2.0,,,2,06:44:00,07:10:00,Walk in,Day A,133,,,404.0,430.0,"2A,2B",Indoor,,26.0,False,True,2,52.0
3,2.0,,,7A,07:05:00,08:08:00,Walk in,Day A,133,,,425.0,488.0,7A,Outdoor,,63.0,False,True,1,63.0
4,1.0,,,8A,07:20:00,08:18:00,In house,Day A,133,,,440.0,498.0,8A,Outdoor,,58.0,False,True,1,58.0
5,1.0,,,10A,07:25:00,07:45:00,In house,Day A,133,,,445.0,465.0,10A,Outdoor,,20.0,False,True,1,20.0
6,1.0,,,8B,07:28:00,08:20:00,In house,Day A,133,,,448.0,500.0,8B,Outdoor,,52.0,False,True,1,52.0
7,1.0,,,9,07:33:00,08:05:00,In house,Day A,133,,,453.0,485.0,"9A,9B,9C",Outdoor,,32.0,False,True,3,96.0
8,5.0,,,4,07:42:00,08:40:00,Walk in,Day A,133,,,462.0,520.0,"4A,4B",Indoor,,58.0,False,True,2,116.0
9,4.0,,,11,07:48:00,08:21:00,In house,Day A,133,,,468.0,501.0,"11A,11B",Outdoor,,33.0,False,True,2,66.0
10,2.0,,,16,07:48:00,08:35:00,In house,Day A,133,,,468.0,515.0,16,Unknown,,47.0,False,True,1,47.0
11,2.0,,,6,07:50:00,08:48:00,Walk in,Day A,133,,,470.0,528.0,"6A,6B",Indoor,,58.0,False,True,2,116.0
12,1.0,,,7B,07:56:00,08:15:00,In house,Day A,133,,,476.0,495.0,7B,Outdoor,,19.0,False,True,1,19.0
13,1.0,,,10A,07:59:00,08:35:00,In house,Day A,133,,,479.0,515.0,10A,Outdoor,,36.0,False,True,1,36.0
14,1.0,,,1,08:00:00,09:19:00,Walk in,Day A,133,,,480.0,559.0,"1A,1B",Indoor,,79.0,False,True,2,158.0
15,1.0,,,8C,08:03:00,08:27:00,Walk in,Day A,133,,,483.0,507.0,8C,Outdoor,,24.0,False,True,1,24.0
16,2.0,,,12,08:05:00,08:25:00,In house,Day A,133,,,485.0,505.0,12,Outdoor,,20.0,False,True,1,20.0
17,1.0,,,14,08:14:00,09:03:00,In house,Day A,133,,,494.0,543.0,14,Outdoor,,49.0,False,True,1,49.0
18,2.0,,,7A,08:15:00,09:30:00,Walk in,Day A,133,,,495.0,570.0,7A,Outdoor,,75.0,False,True,1,75.0
19,1.0,,,15A,08:16:00,09:05:00,In house,Day A,133,,,496.0,545.0,15A,Outdoor,,49.0,False,True,1,49.0
20,1.0,,,10B,08:19:00,08:35:00,In house,Day A,133,,,499.0,515.0,10B,Outdoor,,16.0,False,True,1,16.0
21,4.0,,,3,08:24:00,10:46:00,Walk in,Day A,133,,,504.0,646.0,"3A,3B",Indoor,,142.0,False,True,2,284.0
22,2.0,,,5,08:25:00,09:22:00,In house,Day A,133,,,505.0,562.0,"5A,5B",Indoor,,57.0,False,True,2,114.0
23,2.0,,,2,08:25:00,10:12:00,Walk in,Day A,133,,,505.0,612.0,"2A,2B",Indoor,,107.0,False,True,2,214.0
24,1.0,,,8A,08:33:00,09:30:00,Walk in,Day A,133,,,513.0,570.0,8A,Outdoor,,57.0,False,True,1,57.0
25,1.0,,,11A,08:41:00,09:25:00,Walk in,Day A,133,,,521.0,565.0,11A,Outdoor,,44.0,False,True,1,44.0
26,1.0,,,16,08:43:00,09:35:00,Walk in,Day A,133,,,523.0,575.0,16,Unknown,,52.0,False,True,1,52.0
27,1.0,,,12,08:47:00,09:18:00,In house,Day A,133,,,527.0,558.0,12,Outdoor,,31.0,False,True,1,31.0
28,2.0,,,10A,08:53:00,09:28:00,In house,Day A,133,,,533.0,568.0,10A,Outdoor,,35.0,False,True,1,35.0
29,1.0,,,7B,08:53:00,09:13:00,In house,Day A,133,,,533.0,553.0,7B,Outdoor,,20.0,False,True,1,20.0
30,3.0,,,6,09:00:00,09:33:00,In house,Day A,133,,,540.0,573.0,"6A,6B",Indoor,,33.0,False,True,2,66.0
31,2.0,,,4,09:05:00,10:00:00,Walk in,Day A,133,,,545.0,600.0,"4A,4B",Indoor,,55.0,False,True,2,110.0
32,2.0,,,8B,09:05:00,09:39:00,In house,Day A,133,,,545.0,579.0,8B,Outdoor,,34.0,False,True,1,34.0
33,2.0,,,15A,09:07:00,10:07:00,Walk in,Day A,133,,,547.0,607.0,15A,Outdoor,,60.0,False,True,1,60.0
34,2.0,,,8A,09:08:00,10:09:00,In house,Day A,133,,,548.0,609.0,8A,Outdoor,,61.0,False,True,1,61.0
35,2.0,,,8,09:16:00,10:06:00,Walk in,Day A,133,,,556.0,606.0,"8A,8B,8C",Outdoor,,50.0,False,True,3,150.0
36,1.0,,,12,09:23:00,09:57:00,In house,Day A,133,,,563.0,597.0,12,Outdoor,,34.0,False,True,1,34.0
37,1.0,,,7C,08:28:00,09:30:00,In house,Day A,133,,,508.0,570.0,7C,Outdoor,,62.0,False,True,1,62.0
38,1.0,,,11A,09:30:00,10:05:00,In house,Day A,133,,,570.0,605.0,11A,Outdoor,,35.0,False,True,1,35.0
39,3.0,,,1,09:36:00,10:50:00,In house,Day A,133,,,576.0,650.0,"1A,1B",Indoor,,74.0,False,True,2,148.0
40,2.0,,,5,09:34:00,10:40:00,Walk in,Day A,133,,,574.0,640.0,"5A,5B",Indoor,,66.0,False,True,2,132.0
41,2.0,,,6,09:42:00,10:30:00,In house,Day A,133,,,582.0,630.0,"6A,6B",Indoor,,48.0,False,True,2,96.0
42,1.0,,,7A,09:53:00,11:00:00,Walk in,Day A,133,,,593.0,660.0,7A,Outdoor,,67.0,False,True,1,67.0
43,2.0,,,16,09:55:00,10:34:00,In house,Day A,133,,,595.0,634.0,16,Unknown,,39.0,False,True,1,39.0
