day_id,table_unit,curr_group_service,curr_group_guest_type,curr_group_start,curr_group_end,curr_group_dwell_min,next_group_service,next_group_guest_type,next_group_start,next_group_end,next_group_dwell_min,overlap_duration_min
Day A,8A,24,Walk in,08:33:00,09:30:00,57.0,34,In house,09:08:00,10:09:00,61.0,22.0
Day A,8A,34,In house,09:08:00,10:09:00,61.0,35,Walk in,09:16:00,10:06:00,50.0,53.0
Day A,8B,32,In house,09:05:00,09:39:00,34.0,35,Walk in,09:16:00,10:06:00,50.0,23.0
Day B,11A,8,Walk in,06:44:00,07:48:00,64.0,11,Walk in,07:08:00,07:50:00,42.0,40.0
Day B,11B,8,Walk in,06:44:00,07:48:00,64.0,11,Walk in,07:08:00,07:50:00,42.0,40.0
Day B,13,40,In house,08:43:00,09:50:00,67.0,56,In house,09:38:00,10:21:00,43.0,12.0
Day B,13,56,In house,09:38:00,10:21:00,43.0,70,In house,10:12:00,11:00:00,48.0,9.0
Day B,1B,37,Walk in,08:48:00,10:05:00,77.0,49,Walk in,09:23:00,10:08:00,45.0,42.0
Day B,3B,10,Walk in,07:17:00,09:26:00,129.0,44,In house,08:52:00,09:25:00,33.0,34.0
Day C,11B,29,Walk in,09:05:00,11:35:00,150.0,50,Walk in,09:55:00,11:25:00,90.0,100.0
Day C,12,52,Walk in,10:09:00,11:20:00,71.0,81,In house,11:12:00,12:30:00,78.0,8.0
Day C,12,81,In house,11:12:00,12:30:00,78.0,82,In house,11:25:00,12:00:00,35.0,65.0
Day C,12,82,In house,11:25:00,12:00:00,35.0,85,Walk in,11:40:00,12:30:00,50.0,20.0
Day C,1A,11,Walk in,07:51:00,09:27:00,96.0,42,In house,09:25:00,10:05:00,40.0,2.0
Day C,3B,17,Walk in,08:04:00,09:24:00,80.0,33,Walk in,09:13:00,10:20:00,67.0,11.0
Day C,4A,21,In house,08:12:00,11:05:00,173.0,23,Walk in,09:13:00,09:42:00,29.0,112.0
Day C,4A,50,Walk in,09:55:00,11:25:00,90.0,69,Walk in,11:09:00,12:20:00,71.0,16.0
Day C,4B,19,Walk in,08:10:00,10:30:00,140.0,36,Walk in,09:27:00,10:44:00,77.0,63.0
Day D,1B,31,Walk in,08:24:00,09:49:00,85.0,42,Walk in,09:16:00,10:46:00,90.0,33.0
Day D,4A,8,In house,07:00:00,08:34:00,94.0,13,In house,07:20:00,07:56:00,36.0,74.0
Day D,4A,39,Walk in,09:05:00,11:15:00,130.0,49,Walk in,09:50:00,11:51:00,121.0,85.0
Day D,4B,8,In house,07:00:00,08:34:00,94.0,13,In house,07:20:00,07:56:00,36.0,74.0
Day D,4B,39,Walk in,09:05:00,11:15:00,130.0,49,Walk in,09:50:00,11:51:00,121.0,85.0
Day D,6B,3,Walk in,06:40:00,09:00:00,140.0,19,Walk in,07:40:00,11:20:00,220.0,80.0
Day D,6B,19,Walk in,07:40:00,11:20:00,220.0,65,Walk in,11:05:00,11:25:00,20.0,15.0
Day D,7A,44,In house,09:32:00,09:53:00,21.0,50,Walk in,09:52:00,11:00:00,68.0,1.0
Day D,7A,50,Walk in,09:52:00,11:00:00,68.0,58,In house,10:35:00,11:23:00,48.0,25.0
Day D,7A,58,In house,10:35:00,11:23:00,48.0,66,Walk in,11:21:00,11:39:00,18.0,2.0
Day D,8A,29,Walk in,08:16:00,09:29:00,73.0,46,In house,08:36:00,12:13:00,217.0,53.0
Day E,1B,46,In house,10:03:00,10:49:00,46.0,58,Walk in,10:39:00,13:30:00,171.0,10.0
Day E,7B,19,Walk in,08:18:00,09:37:00,79.0,27,In house,08:44:00,09:13:00,29.0,53.0
